viewDate,areaMunKm,areaUcKm,uc,uf,municipio
5/21/2020,0.07,0,,PA,Jacareacanga
5/21/2020,0.07,0,,PA,Itaituba
5/21/2020,0.15,0,,PA,Novo Progresso
5/21/2020,0.07,0,,PA,Jacareacanga
5/21/2020,0.1,0,,PA,Jacareacanga
5/21/2020,0.07,0,,PA,Jacareacanga
5/21/2020,0.09,0,,PA,Jacareacanga
5/21/2020,0.07,0,,PA,Jacareacanga
5/21/2020,0.07,0,,PA,Jacareacanga
5/21/2020,0.07,0,,PA,Jacareacanga
5/21/2020,0.11,0,,AM,Maues
5/13/2020,0.09,0,,PA,Ourilandia do Norte
5/13/2020,0.09,0,,PA,Ourilandia do Norte
5/13/2020,0.07,0,,PA,Cumaru do Norte
5/13/2020,0.13,0,,PA,Cumaru do Norte
5/12/2020,0.07,0,,PA,Jacareacanga
5/7/2020,0.09,0,,PA,Jacareacanga
5/4/2020,0.03,0,,PA,Jacareacanga
5/4/2020,0.06,0,,PA,Jacareacanga
10/10/2020,0.07,0,,MT,Novo Mundo
10/10/2020,0.07,0,,MT,Novo Mundo
5/4/2020,0.07,0,,PA,Jacareacanga
5/4/2020,0.07,0,,PA,Jacareacanga
5/4/2020,0.11,0,,PA,Altamira
5/4/2020,0.14,0,,PA,Itaituba
5/2/2020,0.08,0,,PA,Floresta do Araguaia
5/1/2020,0.08,0.08,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
5/1/2020,0.07,0,,MT,Paranaita
5/1/2020,0.07,0,,PA,Itaituba
5/1/2020,0.01,0,,PA,Itaituba
5/1/2020,0.06,0,,PA,Itaituba
5/1/2020,0.09,0,,PA,Sao Felix do Xingu
5/1/2020,0.07,0,,PA,Altamira
5/1/2020,0.09,0,,PA,Altamira
5/1/2020,0.11,0,,PA,Itaituba
4/28/2020,0.07,0,,PA,Itaituba
4/28/2020,0.07,0,,MT,Nova Bandeirantes
4/8/2020,0.06,0,,PA,Jacareacanga
4/8/2020,0.1,0,,PA,Jacareacanga
4/8/2020,0.07,0,,PA,Jacareacanga
4/8/2020,0.06,0,,PA,Jacareacanga
4/5/2020,0.16,0,,MT,Pontes E Lacerda
4/5/2020,0.04,0,,PA,Itaituba
4/5/2020,0.07,0,,PA,Itaituba
4/5/2020,0.07,0,,MT,Alta Floresta
4/5/2020,0.11,0,,PA,Novo Progresso
4/5/2020,0.06,0,,PA,Jacareacanga
4/5/2020,0.07,0,,PA,Jacareacanga
4/5/2020,0.09,0,,PA,Jacareacanga
4/5/2020,0.06,0,,MT,Aripuana
4/5/2020,0.17,0,,MT,Aripuana
1/24/2020,0.13,0.13,FLORESTA NACIONAL DE SARACÁ-TAQUERA,PA,Terra Santa
1/24/2020,0,0,FLORESTA NACIONAL DE SARACÁ-TAQUERA,PA,Oriximina
4/5/2020,0.14,0,,PA,Novo Progresso
4/5/2020,0.09,0,,PA,Itaituba
4/5/2020,0.07,0,,PA,Novo Progresso
4/5/2020,0.08,0,,PA,Novo Progresso
4/5/2020,0.12,0,,PA,Itaituba
4/5/2020,0.05,0,,PA,Itaituba
4/5/2020,0.1,0,,PA,Itaituba
4/5/2020,0.07,0,,PA,Itaituba
4/5/2020,0.14,0,,PA,Jacareacanga
4/5/2020,0.08,0,,PA,Jacareacanga
4/5/2020,0.07,0,,AM,Maues
4/3/2020,0.1,0,,PA,Ourilandia do Norte
4/3/2020,0.07,0,,PA,Cumaru do Norte
4/2/2020,0.03,0,,MT,Novo Mundo
4/2/2020,0.06,0,,MT,Nova Guarita
4/2/2020,0.08,0,,MT,Nova Guarita
4/2/2020,0.09,0,,MT,Nova Guarita
4/2/2020,0.06,0,,PA,Jacareacanga
4/2/2020,0.07,0,,PA,Jacareacanga
3/31/2020,0.07,0,,PA,Santa Maria das Barreiras
3/31/2020,0,0,,PA,Santana do Araguaia
3/30/2020,0,0,,PA,Itaituba
3/30/2020,0.11,0,,PA,Jacareacanga
3/30/2020,0.08,0.08,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
10/17/2020,0.08,0,,AM,Jutai
10/18/2020,0.08,0,,PA,Itaituba
3/23/2020,0.07,0,,AM,Jutai
3/23/2020,0.11,0,,AM,Jutai
3/23/2020,0.08,0,,AM,Jutai
3/23/2020,0.09,0,,AM,Jutai
3/23/2020,0.09,0,,AM,Jutai
3/23/2020,0.08,0,,AM,Jutai
3/23/2020,0.07,0,,AM,Jutai
10/18/2020,0.1,0,,MT,Comodoro
10/18/2020,0.65,0,,MT,Comodoro
2/27/2020,0,0,,AM,Maues
10/19/2020,0.08,0,,PA,Altamira
10/19/2020,0.11,0,,PA,Altamira
2/18/2020,0.08,0,,RO,Porto Velho
2/16/2020,0.07,0,,PA,Ourilandia do Norte
2/16/2020,0.07,0,,PA,Ourilandia do Norte
2/16/2020,0.1,0,,PA,Ourilandia do Norte
